I, [2021-01-16T00:36:57.309356 #74750]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.3.4)
E, [2021-01-16T00:36:57.309729 #74750] ERROR -- Kitchen: ------Exception-------
E, [2021-01-16T00:36:57.309768 #74750] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2021-01-16T00:36:57.309793 #74750] ERROR -- Kitchen: Message: Kitchen YAML file /Users/irvs/cognizant/customers/usbank/envs/POC/usbank/us-east-1/kitchen.yml does not exist.
E, [2021-01-16T00:36:57.309861 #74750] ERROR -- Kitchen: ----------------------
E, [2021-01-16T00:36:57.309911 #74750] ERROR -- Kitchen: ------Backtrace-------
E, [2021-01-16T00:36:57.309935 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2021-01-16T00:36:57.309958 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:154:in `data'
E, [2021-01-16T00:36:57.309979 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:132:in `suites'
E, [2021-01-16T00:36:57.309998 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:184:in `filter_instances'
E, [2021-01-16T00:36:57.310017 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:143:in `build_instances'
E, [2021-01-16T00:36:57.310037 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/config.rb:117:in `instances'
E, [2021-01-16T00:36:57.310056 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2021-01-16T00:36:57.310075 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2021-01-16T00:36:57.310094 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/test.rb:40:in `block in call'
E, [2021-01-16T00:36:57.310113 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2021-01-16T00:36:57.310132 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/command/test.rb:38:in `call'
E, [2021-01-16T00:36:57.310151 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:52:in `perform'
E, [2021-01-16T00:36:57.310171 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/cli.rb:250:in `test'
E, [2021-01-16T00:36:57.310190 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2021-01-16T00:36:57.310209 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2021-01-16T00:36:57.310228 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2021-01-16T00:36:57.310246 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2021-01-16T00:36:57.310265 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `block in <top (required)>'
E, [2021-01-16T00:36:57.310283 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2021-01-16T00:36:57.310302 #74750] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.3.4/bin/kitchen:13:in `<top (required)>'
E, [2021-01-16T00:36:57.310321 #74750] ERROR -- Kitchen: /usr/local/bin/kitchen:353:in `load'
E, [2021-01-16T00:36:57.310339 #74750] ERROR -- Kitchen: /usr/local/bin/kitchen:353:in `<main>'
E, [2021-01-16T00:36:57.310357 #74750] ERROR -- Kitchen: ----End Backtrace-----
